Dataset Size	Iterations	Sequential Time	Parallel Time	Speedup
262144	100	0.106032	0.318268	0.333153
262144	100	0.106840	0.361630	0.295440
262144	100	0.130064	0.328254	0.396229
262144	100	0.104699	0.339755	0.308160
262144	100	0.108802	0.331044	0.328663
262144	100	0.111073	0.339460	0.327204
262144	100	0.101711	0.331848	0.306498
262144	100	0.103681	0.354813	0.292213
262144	100	0.105323	0.333076	0.316213
262144	100	0.107044	0.356787	0.300022
1048576	100	0.486905	1.380774	0.352631
1048576	100	0.489435	1.389185	0.352318
1048576	100	0.478431	1.487480	0.321638
1048576	100	0.476430	1.406618	0.338706
1048576	100	0.475932	1.285145	0.370333
1048576	100	0.492542	1.391237	0.354031
1048576	100	0.479361	1.344143	0.356629
1048576	100	0.494124	1.306460	0.378215
1048576	100	0.488123	1.343659	0.363278
1048576	100	0.484559	1.379415	0.351278
4194304	100	1.931875	5.282206	0.365732
4194304	100	1.940103	5.064603	0.383071
4194304	100	1.936030	5.034625	0.384543
4194304	100	1.912602	4.937998	0.387323
4194304	100	1.957354	4.891760	0.400132
4194304	100	1.928444	5.024017	0.383845
4194304	100	1.937661	5.141618	0.376858
4194304	100	1.922530	5.286353	0.363677
4194304	100	1.906534	5.053162	0.377295
4194304	100	1.905722	5.083481	0.374885
16777216	100	8.769824	18.050396	0.485852
16777216	100	9.983872	23.542934	0.424070
16777216	100	8.922023	23.87606	0.373680
16777216	100	8.815099	17.961853	0.490767
16777216	100	8.593848	17.916022	0.479673
16777216	100	7.541097	18.100734	0.416618
16777216	100	7.515114	19.27282	0.389933
16777216	100	7.520652	17.946459	0.419060
16777216	100	7.570995	17.949225	0.421800
16777216	100	7.584783	17.932722	0.422957
67108864	100	30.476178	87.348007	0.348905
67108864	100	30.328416	73.024352	0.415319
67108864	100	30.415028	71.873716	0.423173
67108864	100	30.399995	71.672625	0.424150
67108864	100	30.443534	71.502065	0.425771
67108864	100	36.797395	86.501206	0.425397
67108864	100	37.279342	73.095507	0.510008
67108864	100	31.730878	79.14811	0.400905
67108864	100	34.500184	83.698473	0.412196
67108864	100	34.003951	72.735592	0.467500
262144	10	0.026731	0.074833	0.357208
262144	10	0.026600	0.040431	0.657911
262144	10	0.026908	0.043058	0.624924
262144	10	0.026338	0.086427	0.304742
262144	10	0.026483	0.100137	0.264467
262144	10	0.028338	0.068560	0.413331
262144	10	0.028829	0.022017	1.309397
262144	10	0.026577	0.022164	1.199106
262144	10	0.027643	0.021034	1.314205
262144	10	0.030670	0.021234	1.444381
1048576	10	0.105469	0.085536	1.233036
1048576	10	0.114652	0.106306	1.078509
1048576	10	0.106517	0.092474	1.151858
1048576	10	0.110364	0.086557	1.275044
1048576	10	0.105548	0.097677	1.080581
1048576	10	0.107613	0.089203	1.206383
1048576	10	0.107894	0.091683	1.176815
1048576	10	0.111035	0.085931	1.292141
1048576	10	0.108351	0.087567	1.237349
1048576	10	0.105668	0.085786	1.231762
4194304	10	0.428349	0.465619	0.919956
4194304	10	0.431955	0.452760	0.954048
4194304	10	0.426306	0.344916	1.235970
4194304	10	0.428030	0.349452	1.224860
4194304	10	0.425664	0.341580	1.246161
4194304	10	0.449376	0.346468	1.297020
4194304	10	0.550437	0.454132	1.212063
4194304	10	0.429060	0.454329	0.944381
4194304	10	0.431050	0.345032	1.249304
4194304	10	0.428206	0.346423	1.236078
16777216	10	2.162686	1.369623	1.579037
16777216	10	2.266513	1.418689	1.597610
16777216	10	1.741042	1.759863	0.989305
16777216	10	1.728381	1.807949	0.955989
16777216	10	1.726430	1.638195	1.053861
16777216	10	1.728492	1.370131	1.261552
16777216	10	1.961357	1.447508	1.354988
16777216	10	1.922059	1.818412	1.056998
16777216	10	1.885838	1.813972	1.039618
16777216	10	1.844176	1.632929	1.129366
67108864	10	7.590926	7.173748	1.058153
67108864	10	7.681930	7.777977	0.987651
67108864	10	7.871156	8.033656	0.979772
67108864	10	7.478654	7.647497	0.977921
67108864	10	7.689410	7.649723	1.005188
67108864	10	7.516438	7.570026	0.992921
67108864	10	7.485773	6.702340	1.116889
67108864	10	7.689397	7.275948	1.056824
67108864	10	8.217958	6.806833	1.207310
67108864	10	8.998288	7.248554	1.241390
